,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR
,LAD,1621,4354,150,610,579,74,9.70%,21.40%,0.19,0.305,0.261,0.337,0.451,0.341,,122,15.4,126.5,-2,28.5
,NYY,1662,4407,192,596,570,74,10.30%,22.10%,0.195,0.273,0.242,0.328,0.438,0.333,,119,-4.8,89.9,22.8,26.4
,STL,1634,4324,134,536,515,72,8.50%,20.50%,0.164,0.293,0.253,0.323,0.417,0.323,,111,9.4,63.9,5.8,22.6
,NYM,1647,4384,116,552,525,40,8.10%,19.80%,0.15,0.303,0.259,0.33,0.409,0.324,,113,-3.9,63.7,-4.8,21.7
,HOU,1614,4329,159,525,510,56,9.10%,19.60%,0.181,0.271,0.244,0.318,0.425,0.324,,114,-6.9,62.9,5.1,21.5
,TOR,1692,4264,145,533,520,46,7.70%,20.60%,0.171,0.304,0.263,0.325,0.434,0.33,,113,-6.3,53.8,3.2,20.1
,ATL,1600,4366,177,557,530,65,7.60%,24.70%,0.193,0.299,0.251,0.315,0.444,0.329,,108,7.4,50,-16.8,19
,MIN,1671,4273,140,505,488,24,8.60%,21.70%,0.166,0.292,0.25,0.32,0.416,0.321,,110,-11.8,35.7,-10.9,16.8
,CLE,1640,4315,90,496,472,76,7.40%,18.30%,0.133,0.293,0.252,0.314,0.385,0.307,,99,9.1,6,11.3,16.1
,SEA,1691,4374,127,467,446,59,9.60%,22.70%,0.15,0.276,0.231,0.315,0.381,0.307,,105,-8.9,14.7,-2.1,15.8
,MIL,1614,4280,155,516,503,68,9.30%,23.30%,0.176,0.281,0.239,0.319,0.415,0.32,,103,1.7,18.9,-13.4,15.8
,SDP,1651,4465,105,524,507,35,9.20%,21.40%,0.14,0.292,0.243,0.319,0.383,0.309,,101,3.2,6.6,-14.9,15
,TEX,1687,4274,138,511,483,88,7.70%,23.60%,0.156,0.289,0.241,0.303,0.397,0.306,,100,16.5,17,-19.2,14
,TBR,1663,4196,102,464,441,65,8.40%,24.00%,0.139,0.296,0.238,0.307,0.377,0.301,,101,-2.6,3.1,-4.8,13.8
,ARI,1713,4237,128,493,462,58,9.30%,22.10%,0.16,0.269,0.229,0.307,0.389,0.305,,92,18,-20,5.8,13.6
,PHI,1636,4264,148,526,506,73,7.80%,22.40%,0.17,0.291,0.249,0.312,0.418,0.318,,102,6.3,15.3,-31,13.5
,BOS,1703,4396,112,516,493,39,7.30%,22.10%,0.155,0.305,0.253,0.313,0.408,0.314,,100,-3.2,-3.7,-15.4,12.6
,CHW,1666,4356,101,490,466,40,6.20%,20.50%,0.129,0.309,0.259,0.313,0.388,0.307,,101,1.3,5.1,-26.3,12.2
,BAL,1667,4281,117,483,455,71,7.50%,23.10%,0.153,0.288,0.238,0.306,0.392,0.306,,97,8.4,-6.2,-16.1,11.9
,SFG,1791,4321,133,521,497,52,9.70%,22.90%,0.16,0.281,0.236,0.32,0.395,0.315,,104,1.7,22,-58.6,11.5
,CHC,1680,4285,114,470,442,73,8.50%,23.30%,0.149,0.301,0.245,0.319,0.394,0.313,,99,-6.8,-12.8,-23.4,11.5
,KCR,1689,4310,99,457,438,73,7.80%,21.10%,0.136,0.295,0.247,0.309,0.383,0.304,,96,-0.7,-22.4,-26.4,9.2
,MIA,1695,4244,104,430,405,97,7.40%,23.50%,0.135,0.288,0.234,0.298,0.369,0.294,,91,1.4,-43.6,-13.2,9.2
,COL,1629,4449,105,532,507,32,7.70%,20.50%,0.144,0.314,0.263,0.326,0.408,0.321,,92,-3.9,-47.2,-25.7,8.2
,LAA,1651,4239,128,444,425,62,8.10%,26.00%,0.152,0.284,0.227,0.297,0.379,0.296,,92,2.1,-38.4,-21,7.9
,CIN,1677,4175,105,478,458,45,7.70%,24.20%,0.136,0.298,0.24,0.31,0.376,0.303,,88,-9.7,-69.9,-19,5.6
,OAK,1685,4135,97,387,362,63,7.10%,23.40%,0.129,0.262,0.215,0.277,0.344,0.275,,81,3.2,-85.8,-0.9,4.7
,PIT,1676,4188,114,415,387,58,8.00%,25.60%,0.143,0.275,0.221,0.289,0.363,0.288,,83,-1.8,-84.1,-20.7,3.9
,WSN,1683,4301,95,438,419,48,8.00%,19.60%,0.127,0.293,0.248,0.315,0.375,0.304,,92,-23.6,-63.9,-57,2.7
,DET,1682,4161,67,368,351,30,6.50%,24.50%,0.104,0.287,0.225,0.282,0.33,0.271,,74,-10.4,-131.2,-17.7,-1.7
